"filename", "language", "Rust", "TOML", "Markdown", "comment", "blank", "total"
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\Cargo.lock", "TOML", 0, 3769, 0, 2, 421, 4192
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\Cargo.toml", "TOML", 0, 14, 0, 2, 2, 18
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\Cargo.toml", "TOML", 0, 17, 0, 0, 4, 21
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\README.md", "Markdown", 0, 0, 131, 0, 37, 168
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\automata\buffers.rs", "Rust", 107, 0, 0, 30, 19, 156
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\automata\engine.rs", "Rust", 182, 0, 0, 51, 36, 269
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\automata\mod.rs", "Rust", 3, 0, 0, 1, 1, 5
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\automata\pipeline.rs", "Rust", 104, 0, 0, 4, 10, 118
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\cell\field.rs", "Rust", 42, 0, 0, 12, 8, 62
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\cell\mod.rs", "Rust", 2, 0, 0, 1, 1, 4
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\cell\schema.rs", "Rust", 51, 0, 0, 27, 14, 92
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\lib.rs", "Rust", 11, 0, 0, 12, 3, 26
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\render\mod.rs", "Rust", 1, 0, 0, 1, 1, 3
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\render\renderer.rs", "Rust", 164, 0, 0, 7, 15, 186
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\rule_graph\compiler.rs", "Rust", 208, 0, 0, 42, 20, 270
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\rule_graph\graph.rs", "Rust", 108, 0, 0, 43, 30, 181
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\rule_graph\mod.rs", "Rust", 4, 0, 0, 1, 1, 6
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\rule_graph\node.rs", "Rust", 76, 0, 0, 57, 26, 159
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\rule_graph\wgsl.rs", "Rust", 36, 0, 0, 7, 5, 48
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\shader\builder.rs", "Rust", 141, 0, 0, 53, 23, 217
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\shader\mod.rs", "Rust", 2, 0, 0, 1, 1, 4
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\shader\templates.rs", "Rust", 39, 0, 0, 15, 8, 62
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\sparse\active_set.rs", "Rust", 63, 0, 0, 43, 14, 120
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\sparse\mod.rs", "Rust", 1, 0, 0, 1, 1, 3
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\topology\grid2d.rs", "Rust", 100, 0, 0, 23, 17, 140
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\topology\grid3d.rs", "Rust", 116, 0, 0, 12, 16, 144
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\topology\hex.rs", "Rust", 71, 0, 0, 10, 13, 94
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\gpu-automata\src\topology\mod.rs", "Rust", 9, 0, 0, 21, 6, 36
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\lif-viewer\Cargo.toml", "TOML", 0, 21, 0, 8, 7, 36
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\lif-viewer\src\app.rs", "Rust", 332, 0, 0, 48, 68, 448
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\lif-viewer\src\lif_parser.rs", "Rust", 263, 0, 0, 46, 31, 340
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\lif-viewer\src\main.rs", "Rust", 111, 0, 0, 47, 31, 189
"c:\Users\User\Downloads\life-viewer-workspace(1)\life-viewer-workspace\lif-viewer\src\sidebar.rs", "Rust", 136, 0, 0, 7, 30, 173
"Total", "-", 2483, 3821, 131, 635, 920, 7990
